Cluster,FID,Lat,Long,DAYNO.,RAINFALL,YEAR
33,18.0,29.75,78.0,183.0,2.734246575342466,2017.0
34,55.0,30.5,78.5,183.0,2.4383561643835616,2017.0
35,57.0,30.5,79.0,183.0,6.021917808219178,2017.0
36,47.0,30.25,79.75,183.0,5.328767123287672,2017.0
37,73.0,31.0,78.0,183.0,2.9232876712328766,2017.0
38,29.0,30.0,78.0,183.0,3.8383561643835615,2017.0
39,13.0,29.5,79.25,183.0,4.901369863013699,2017.0
40,80.0,31.0,79.75,183.0,4.2,2017.0
41,24.0,29.75,79.5,183.0,2.8876712328767122,2017.0
42,82.0,31.25,79.0,183.0,4.435616438356164,2017.0
43,30.0,30.0,78.25,183.0,4.282191780821917,2017.0
44,68.0,30.75,79.0,183.0,5.232876712328767,2017.0
45,58.0,30.5,79.25,183.0,4.3863013698630136,2017.0
46,76.0,31.0,78.75,183.0,4.095890410958904,2017.0
47,20.0,29.75,78.5,183.0,2.627397260273973,2017.0
48,33.0,30.0,79.0,183.0,3.989041095890411,2017.0
49,12.0,29.5,79.0,183.0,3.2054794520547945,2017.0
50,53.0,30.5,78.0,183.0,5.542465753424658,2017.0
51,60.0,30.5,79.75,183.0,4.66027397260274,2017.0
52,10.0,29.25,80.25,183.0,3.5013698630136987,2017.0
53,81.0,31.25,78.25,183.0,2.293150684931507,2017.0
54,72.0,30.75,80.0,183.0,5.364383561643836,2017.0
55,39.0,30.0,80.5,183.0,6.876712328767123,2017.0
56,32.0,30.0,78.75,183.0,2.9917808219178084,2017.0
57,67.0,30.75,78.75,183.0,4.104109589041096,2017.0
58,7.0,29.25,79.5,183.0,6.219178082191781,2017.0
59,65.0,30.75,78.25,183.0,4.684931506849315,2017.0
60,36.0,30.0,79.75,183.0,4.835616438356165,2017.0
61,16.0,29.5,80.0,183.0,3.254794520547945,2017.0
62,45.0,30.25,79.25,183.0,4.63013698630137,2017.0
63,14.0,29.5,79.5,183.0,3.5424657534246577,2017.0
64,35.0,30.0,79.5,183.0,3.9205479452054797,2017.0
65,6.0,29.25,79.25,183.0,7.832876712328767,2017.0
66,41.0,30.25,78.25,183.0,5.235616438356164,2017.0
67,48.0,30.25,80.0,183.0,6.8191780821917805,2017.0
68,49.0,30.25,80.25,183.0,6.854794520547945,2017.0
69,34.0,30.0,79.25,183.0,3.9424657534246577,2017.0
70,70.0,30.75,79.5,183.0,3.8958904109589043,2017.0
71,42.0,30.25,78.5,183.0,2.8109589041095893,2017.0
72,62.0,30.5,80.25,183.0,6.758904109589041,2017.0
73,27.0,29.75,80.25,183.0,6.5698630136986305,2017.0
74,79.0,31.0,79.5,183.0,4.2904109589041095,2017.0
75,26.0,29.75,80.0,183.0,4.208219178082191,2017.0
76,2.0,29.0,79.5,183.0,5.419178082191781,2017.0
77,4.0,29.0,80.0,183.0,4.3863013698630136,2017.0
78,25.0,29.75,79.75,183.0,3.0876712328767124,2017.0
79,21.0,29.75,78.75,183.0,2.6986301369863015,2017.0
0,23.0,29.75,79.25,183.0,1.7397260273972603,2018.0
1,66.0,30.75,78.5,183.0,3.041095890410959,2018.0
2,61.0,30.5,80.0,183.0,6.564383561643836,2018.0
3,9.0,29.25,80.0,183.0,2.8684931506849316,2018.0
4,28.5,30.0,77.875,183.0,4.250684931506849,2018.0
5,58.0,30.5,79.25,183.0,4.375342465753425,2018.0
6,51.5,30.25,80.875,183.0,7.263013698630137,2018.0
7,38.0,30.0,80.25,183.0,7.323287671232877,2018.0
8,5.0,29.25,79.0,183.0,2.334246575342466,2018.0
9,82.0,31.25,79.0,183.0,4.1287671232876715,2018.0
10,31.0,30.0,78.5,183.0,2.717808219178082,2018.0
11,80.0,31.0,79.75,183.0,4.279452054794521,2018.0
12,81.0,31.25,78.25,183.0,1.9589041095890412,2018.0
13,63.0,30.75,77.75,183.0,3.3863013698630136,2018.0
14,2.0,29.0,79.5,183.0,5.635616438356164,2018.0
15,48.0,30.25,80.0,183.0,7.616438356164384,2018.0
16,24.0,29.75,79.5,183.0,2.589041095890411,2018.0
17,56.0,30.5,78.75,183.0,4.8,2018.0
18,0.0,28.75,80.0,183.0,5.989041095890411,2018.0
19,69.0,30.75,79.25,183.0,4.260273972602739,2018.0
20,11.0,29.5,78.75,183.0,1.9479452054794522,2018.0
21,33.0,30.0,79.0,183.0,2.663013698630137,2018.0
22,41.0,30.25,78.25,183.0,4.295890410958904,2018.0
23,59.0,30.5,79.5,183.0,3.9068493150684933,2018.0
24,39.0,30.0,80.5,183.0,7.112328767123287,2018.0
25,67.0,30.75,78.75,183.0,4.068493150684931,2018.0
26,36.0,30.0,79.75,183.0,7.046575342465753,2018.0
27,64.0,30.75,78.0,183.0,3.947945205479452,2018.0
28,17.0,29.5,80.25,183.0,4.605479452054794,2018.0
29,16.0,29.5,80.0,183.0,3.1041095890410957,2018.0
30,19.0,29.75,78.25,183.0,2.9643835616438357,2018.0
31,42.0,30.25,78.5,183.0,2.2575342465753425,2018.0
32,30.0,30.0,78.25,183.0,4.610958904109589,2018.0
33,37.0,30.0,80.0,183.0,7.405479452054794,2018.0
34,55.0,30.5,78.5,183.0,1.9945205479452055,2018.0
35,34.0,30.0,79.25,183.0,2.536986301369863,2018.0
36,55.5,30.375,80.25,183.0,7.3863013698630136,2018.0
37,26.0,29.75,80.0,183.0,3.9726027397260273,2018.0
38,35.0,30.0,79.5,183.0,4.832876712328767,2018.0
39,47.0,30.25,79.75,183.0,6.493150684931507,2018.0
40,18.0,29.75,78.0,183.0,3.5726027397260274,2018.0
41,78.0,31.0,79.25,183.0,4.498630136986302,2018.0
42,46.0,30.25,79.5,183.0,5.32054794520548,2018.0
43,54.0,30.5,78.25,183.0,2.7616438356164386,2018.0
44,20.0,29.75,78.5,183.0,2.1726027397260275,2018.0
45,12.0,29.5,79.0,183.0,2.6,2018.0
46,79.0,31.0,79.5,183.0,4.293150684931507,2018.0
47,65.0,30.75,78.25,183.0,4.501369863013698,2018.0
48,72.0,30.75,80.0,183.0,6.145205479452055,2018.0
